doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
bvntd-kiem-soat-chat-luong-hang-hoa-tmdt,data/k4_ecommerce/bvntd-kiem-soat-chat-luong-hang-hoa-tmdt.md,Kiểm soát chất lượng hàng hóa trong thương mại điện tử - thực trạng và khuyến nghị,https://www.bvntd.gov.vn/tintuc_sukien/kiem-soat-chat-luong-hang-hoa-trong-thuong-mai-dien-tu-thuc-trang-va-mot-so-khuyen-nghi/,2026-08-03,not-stated,public-page
bvntd-quy-trinh-khieu-nai-nguoi-tieu-dung,data/k4_ecommerce/bvntd-quy-trinh-khieu-nai-nguoi-tieu-dung.md,Thông tin về việc tiếp nhận giải quyết yêu cầu khiếu nại của người tiêu dùng,https://www.bvntd.gov.vn/tintuc_sukien/thong-tin-ve-viec-tiep-nhan-giai-quyet-yeu-cau-khieu-nai-cua-nguoi-tieu-dung/,2026-08-03,not-stated,public-page
bvntd-rui-ro-mua-sam-truc-tuyen,data/k4_ecommerce/bvntd-rui-ro-mua-sam-truc-tuyen.md,Cảnh báo người tiêu dùng trước các rủi ro khi mua sắm trực tuyến,https://dnvntd.bvntd.gov.vn/canh-bao-nguoi-tieu-dung-truoc-cac-rui-ro-khi-mua-sam-truc-tuyen-a1622,2026-08-03,not-stated,public-page
moit-nghi-dinh-85-2021-tmdt,data/k4_ecommerce/moit-nghi-dinh-85-2021-tmdt.md,Một số điểm mới về bảo vệ quyền lợi người tiêu dùng trong Nghị định 85/2021/NĐ-CP về thương mại điện tử,https://moit.gov.vn/tin-tuc/thong-bao/mot-so-diem-moi-ve-bao-ve-quyen-loi-nguoi-tieu-dung-trong-nghi-dinh-so-85-2021-nd-cp-ve-thuong-mai-dien-tu.html,2026-08-03,2021-10-18,public-page
moit-quy-dinh-moi-luat-bvqltd-2023,data/k4_ecommerce/moit-quy-dinh-moi-luat-bvqltd-2023.md,Một số quy định mới tại Luật Bảo vệ quyền lợi người tiêu dùng năm 2023,https://moit.gov.vn/tin-tuc/bao-chi-voi-nguoi-dan/mot-so-quy-dinh-moi-tai-luat-bao-ve-quyen-loi-nguoi-tieu-dung-nam-2023.html,2026-08-03,2023-06-29,public-page
moit-trach-nhiem-ban-le-hang-tieu-dung,data/k4_ecommerce/moit-trach-nhiem-ban-le-hang-tieu-dung.md,Một số trách nhiệm quan trọng về bảo vệ quyền lợi người tiêu dùng của tổ chức cá nhân phân phối bán lẻ,https://moit.gov.vn/tin-tuc/bao-chi-voi-nguoi-dan/mot-so-trach-nhiem-quan-trong-ve-bao-ve-quyen-loi-nguoi-tieu-dung-cua-cac-to-chuc-ca-nhan-phan-phoi-ban-le-hang-tieu-dun.html,2026-08-03,2024-08-20,public-page
tiki-danh-muc-hang-cam-ban,data/k4_ecommerce/tiki-danh-muc-hang-cam-ban.md,Danh mục sản phẩm cấm bán trên sàn giao dịch TMĐT Tiki,https://hocvien.tiki.vn/faq/danh-muc-san-pham-cam-ban-tren-sgd-tmdt-tiki/,2026-08-03,not-stated,public-page
tiki-quy-dinh-tu-khoa-san-pham,data/k4_ecommerce/tiki-quy-dinh-tu-khoa-san-pham.md,Quy định từ khóa trong nội dung sản phẩm,https://hocvien.tiki.vn/faq/quy-dinh-tu-khoa-trong-noi-dung-san-pham/,2026-08-03,not-stated,public-page
tiki-quyen-nghia-vu-nha-ban,data/k4_ecommerce/tiki-quyen-nghia-vu-nha-ban.md,Quyền và nghĩa vụ của Nhà Bán và Tiki,https://hocvien.tiki.vn/faq/quyen-va-nghia-vu-cua-nha-ban-va-tiki/,2026-08-03,not-stated,public-page
tiki-xu-ly-doi-tra-bao-hanh,data/k4_ecommerce/tiki-xu-ly-doi-tra-bao-hanh.md,Câu hỏi thường gặp về xử lý đổi - trả - bảo hành dành cho Nhà Bán,https://hocvien.tiki.vn/faq/cau-hoi-thuong-gap-ve-xu-ly-doi-tra-bao-hanh/,2026-08-03,not-stated,public-page
