url,doc_id,title,customer_role,category,language,document_version,license_or_permission
https://hocvien.tiki.vn/faq/danh-muc-san-pham-cam-ban-tren-sgd-tmdt-tiki/,tiki-danh-muc-hang-cam-ban,Danh mục sản phẩm cấm bán trên sàn giao dịch TMĐT Tiki,seller,listing-policy,vi,not-stated,public-page
https://hocvien.tiki.vn/faq/quyen-va-nghia-vu-cua-nha-ban-va-tiki/,tiki-quyen-nghia-vu-nha-ban,Quyền và nghĩa vụ của Nhà Bán và Tiki,seller,seller-obligations,vi,not-stated,public-page
https://hocvien.tiki.vn/faq/cau-hoi-thuong-gap-ve-xu-ly-doi-tra-bao-hanh/,tiki-xu-ly-doi-tra-bao-hanh,Câu hỏi thường gặp về xử lý đổi - trả - bảo hành dành cho Nhà Bán,seller,returns-policy,vi,not-stated,public-page
https://hocvien.tiki.vn/faq/quy-dinh-tu-khoa-trong-noi-dung-san-pham/,tiki-quy-dinh-tu-khoa-san-pham,Quy định từ khóa trong nội dung sản phẩm,seller,listing-policy,vi,not-stated,public-page
https://moit.gov.vn/tin-tuc/bao-chi-voi-nguoi-dan/mot-so-trach-nhiem-quan-trong-ve-bao-ve-quyen-loi-nguoi-tieu-dung-cua-cac-to-chuc-ca-nhan-phan-phoi-ban-le-hang-tieu-dun.html,moit-trach-nhiem-ban-le-hang-tieu-dung,Một số trách nhiệm quan trọng về bảo vệ quyền lợi người tiêu dùng của tổ chức cá nhân phân phối bán lẻ,seller,seller-obligations,vi,not-stated,public-page
https://www.bvntd.gov.vn/tintuc_sukien/thong-tin-ve-viec-tiep-nhan-giai-quyet-yeu-cau-khieu-nai-cua-nguoi-tieu-dung/,bvntd-quy-trinh-khieu-nai-nguoi-tieu-dung,Thông tin về việc tiếp nhận giải quyết yêu cầu khiếu nại của người tiêu dùng,buyer,complaint-handling,vi,not-stated,public-page
https://dnvntd.bvntd.gov.vn/canh-bao-nguoi-tieu-dung-truoc-cac-rui-ro-khi-mua-sam-truc-tuyen-a1622,bvntd-rui-ro-mua-sam-truc-tuyen,Cảnh báo người tiêu dùng trước các rủi ro khi mua sắm trực tuyến,buyer,consumer-guidance,vi,not-stated,public-page
https://moit.gov.vn/tin-tuc/bao-chi-voi-nguoi-dan/mot-so-quy-dinh-moi-tai-luat-bao-ve-quyen-loi-nguoi-tieu-dung-nam-2023.html,moit-quy-dinh-moi-luat-bvqltd-2023,Một số quy định mới tại Luật Bảo vệ quyền lợi người tiêu dùng năm 2023,buyer,consumer-rights,vi,not-stated,public-page
https://moit.gov.vn/tin-tuc/thong-bao/mot-so-diem-moi-ve-bao-ve-quyen-loi-nguoi-tieu-dung-trong-nghi-dinh-so-85-2021-nd-cp-ve-thuong-mai-dien-tu.html,moit-nghi-dinh-85-2021-tmdt,Một số điểm mới về bảo vệ quyền lợi người tiêu dùng trong Nghị định 85/2021/NĐ-CP về thương mại điện tử,both,legal-framework,vi,not-stated,public-page
https://www.bvntd.gov.vn/tintuc_sukien/kiem-soat-chat-luong-hang-hoa-trong-thuong-mai-dien-tu-thuc-trang-va-mot-so-khuyen-nghi/,bvntd-kiem-soat-chat-luong-hang-hoa-tmdt,Kiểm soát chất lượng hàng hóa trong thương mại điện tử - thực trạng và khuyến nghị,both,quality-control,vi,not-stated,public-page
